,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
0,cbaaddf0-c235-4f7a-85a1-22758a8a06f1,RANKED_SOLO_5x5,DIAMOND,IV,vbtLhJO51xpczJb2qm_tW2QUx2EdllksY7UV99ezn8VlOtd8,Scorty LFT,70,17,13,False,False,False,False,
1,83a7a296-8825-46d2-82f3-65367455501c,RANKED_SOLO_5x5,DIAMOND,IV,rRlU1inWhHonGZrXXTBPM5P5e3mhVEzI4KrfUmV6po8vWczP,Sicana,100,181,191,False,False,False,True,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}"
2,2b35df93-c634-4d0b-a2de-b4714f7a695d,RANKED_SOLO_5x5,DIAMOND,IV,eqfF_sKOOSn-tBkORDP2K-BB4-RMHd0bDdPloAwIIzNa3ZSW,aL9shkaSadEbalo,63,399,387,False,False,False,False,
3,bab2394d-0cad-43dc-88db-ab7a4a67198a,RANKED_SOLO_5x5,DIAMOND,IV,Kqs7z2VsZuD0beUT66RvOduHZhZYcOral5m8c3wYmZggTZe8,M 4 R X M K X V,41,236,220,False,False,False,False,
4,3db1f940-2949-44ec-9ba6-55509013266f,RANKED_SOLO_5x5,DIAMOND,IV,eeWPUUEeP0524UNLAtFLuRDiKQtLrHBhCOitzoqGnpVoih_6,K1K1K1K1,5,49,44,False,False,False,False,
5,eb66b228-28a3-4650-9c3c-af7130137d68,RANKED_SOLO_5x5,DIAMOND,IV,p84uuG91Q9i7Lk5xQt23Zctm2ghKrXz4jEFxmehrXVEisqbp,Blood12345678910,21,254,222,True,False,False,False,
6,67eb3484-753d-498d-87fd-2aebe45877a2,RANKED_SOLO_5x5,DIAMOND,IV,O2YcEk8Li7GAS46jyjEExgyVOvspstECLkXkGCQX4PlXj8ab,herr mannerlig,0,634,626,False,False,False,False,
7,fe4357d0-5d0f-4942-9efd-2f6353a04e4c,RANKED_SOLO_5x5,DIAMOND,IV,DxnNOfYsa1wqzSnY8uK4OkOrOmSMZ5FsUTUX1epMNnRavInu,Gilgamesz,17,55,61,False,False,False,False,
8,beed5efe-f574-46d0-a449-195a5bff9350,RANKED_SOLO_5x5,DIAMOND,IV,5sATDBzIcmK0FFXL8W4BHPSGFTxVsUVHRAzjgeY2svHa8OoZ,DJANGO ω,40,105,65,False,False,False,False,
9,2ea3ef2c-765b-43c1-a388-a4847de54e6e,RANKED_SOLO_5x5,DIAMOND,IV,qg794OQ3100pUJNi-JFmykVFpJ3TmdcLTdaYIXBQcwhhMqW_,mmnn,0,123,137,False,False,False,False,
