,summonerName
0,Scorty LFT
1,Sicana
2,aL9shkaSadEbalo
3,M 4 R X M K X V
4,K1K1K1K1
5,Blood12345678910
6,herr mannerlig
7,Gilgamesz
8,DJANGO ω
9,mmnn
10,q8overdose
11,Rherithiel
12,murkel
13,debiI
14,Mıghty Eyes
15,jskdfasjfjk
16,xKniven
17,Star Shoppíng
18,Catch me in Bush
19,AndreasBruun
20,Hi48
21,Iiuz
22,Rogalloo
23,Laotionerfo
24,lutschtdu2
25,stay posîtîve
26,rezy3h
27,king evil boy
28,Loternop
29,CursedTop
30,FeeerCMoreno
31,KáZmà
32,I M P U R 00
33,frederikib1977
34,Magma Blast
35,CoKayn Abuser
36,ZZZZL
37,Kieffergg
38,SnarkyPakka
39,Bard Bοt
40,C Branflakes
41,Ðavura
42,Ayrras
43,Im not smurf 31
44,Seifer141
45,Varotzs
46,Doates v2
47,X ˉˉˉˉˉˉ D
48,OoKAARIIIIIMoO
49,Mìmí
50,R3tarded Aut1st
51,Zakkã
52,LTF RicardoMilos
53,Noãh
54,ßear ωith mε
55,Kazuo Yamashıta
56,Jrkzz
57,Svimmelbimmel
58,SpinnerGaren
59,Peanut brother
60,LimiTless0727
61,ad Tempus
62,LaBraguetteOP
63,Envy and Regret
64,Ak4za Hakuji
65,WachinMachine
66,Tokkzz
67,stin valor v2
68,Lösa05orOchNeråt
69,the hump trump
70,Rotcher
71,ÐEMON
72,White Mustang
73,Braat
74,Trash Hardstuck
75,Vankell
76,Turkish March
77,DG gribbidy
78,Georg Lindemann2
79,Stupid Teemo
80,Thormaul
81,xdoubI3 ll
82,Chicknick228
83,Nezilis
84,Danxer
85,EzPz NoUpsetti
86,ChocolateDor
87,Xylester
88,sup im straight
89,Mid Ji Bo Jiyan
90,OTPythagore
91,Spicy Raldha
92,Proxixor
93,Pannekucken4Life
94,otur med lag
95,Ðarłìng
96,Poikks
97,XELEGION
98,Second Blue Me
99,lm decent
100,Eli TT Eliason
101,Skyland
102,I bims der Bard
103,SecondChance99
104,Kandles
105,Hororoi
106,xJ4P
107,Karel Anker
108,Musse G
109,Ascentya
110,Shαco Bot
111,Robert39XD
112,Ãstro
113,Bot Arm0s
114,Käyń
115,Kralamour Géant
116,Elstorko1
117,Kappastorm
118,Yossune
119,Koyuki Seri 
120,MAClEK
121,Hèimerdinger
122,BladimirPutin
123,Bronze Hero
124,Dorianiti
125,Alessiσ
126,A Lodbrok
127,LuxLikeYouLose
128,ĄrKoS
